original,processed,termid,formphrase,scopevsn,local URL
act,act,act,act{ss},,
actions,actions,action,action{ss},essif-lab,
actor,actor,actor,actor{ss},essif-lab,
artifacts,artifacts,knowledge-artifact,knowledge-artifact{ss},,
author,author,author,author{ss},,
body,body,body,bod{yies},,
community,community,community,communit{yies},essif-lab,
concept,concept,concept,concept{ss},,
concept-file,concept-file,concept-file,concept-file{ss},,
conceptualization,conceptualization,conceptualization,conceptualization{ss},,
constraints,constraints,constraint,constraint{ss},,
context,context,context,context{ss},,
contributors,contributors,contributor,contributor{ss},,
controlled,controlled,controlled,controlled,,
ctext moustache profile,ctext-moustache-profile,ctext-moustache-profile,ctext-moustache-profile{ss},,
ctext template,ctext-template,ctext-template,ctext-template{ss},,
curate,curate,curate,curate,,
curated,curated,curate,curated,,
curates,curates,curate,curates,,
curating,curating,curate,curating,,
Curation,curation,curate,curation,,
curation,curation,curate,curation,,
curator,curator,curator,curator{ss},,
define,define,define,define,,
defining,defining,define,defining,,
entity,entity,entity,entit{yies},,
formatted texts,formatted-text,formatted-text,formatted-text{ss},,
formphrase,formphrase,formphrase,formphrase{ss},,
form phrases,form-phrases,formphrase,form-phrase{ss},,
governance,governance,governance,,essif-lab,
header,header,header,header{ss},,
HRD,hrd,hrd,hrd{ss},,
HRDTs,hrdts,hrdt,hrdt{ss},,
HRG,hrg,hrg,hrg{ss},,
HRG entries,hrg-entries,hrg-entry,hrg-entr{yies},,
HRGT,hrgt,hrgt,hrgt{ss},,
Human Readable Dictionary,human-readable-dictionary,hrd,human-readable-dictionar{yies},,
human readable glossary,human-readable-glossary,hrg,human-readable-glossar{yies},,
ICT,ict,ict,ict{ss},,
Integrity Checker Tool,integrity-checker-tool,ict,integrity-checker-tool{ss},,
identity pattern,identity-pattern,pattern-identity,identity-model,,
ingested,ingested,ingestion,"ingest, ingests, ingested, ingesting, ingestion",,
ingestion process,ingestion-process,ingestion-process,,,
interpreters,interpreters,,,,
knowledge,knowledge,knowledge,knowledge{ss},,
machine readable dictionary (MRD),machine-readable-dictionary-mrd,mrd,machine-readable-dictionar{yies},,
machine readable dictionary (MRD),machine-readable-dictionary-mrd,mrd,machine-readable-dictionary-mrd,,
machine readable glossary,machine-readable-glossary,mrg,machine-readable-glossar{yies},,
management,management,,,,
manages,manages,,,,
members,members,,,,
model,model,,,,
MRD,mrd,mrd,mrd{ss},,
MRDT,mrdt,mrdt,mrdt{ss},,
MRG,mrg,,mrg{ss},,
MRGT,mrgt,mrgt,mrgt{ss},,
MRG Importer,mrg-importer,mrg-importer,mrg-importer{ss},,
name or phrase,name-or-phrase,term,name{ss}-or-phrase{ss},,
objectives,objectives,objective,objective{ss},essif-lab,
own,own,,,essif-lab,
owned,owned,,,essif-lab,
owner,owner,,,essif-lab,
owning,owning,,,essif-lab,
owns,owns,,,essif-lab,
partial identities,partial-identities,,,essif-lab,
partial identity,partial-identity,,,essif-lab,
Parties,parties,party,,essif-lab,
parties,parties,,,essif-lab,
party,party,,,essif-lab,
party-actor-action model,party-actor-action-model,,,essif-lab,
party's,party-s,,,essif-lab,
pattern,pattern,,,essif-lab,
pattern-governance-and-management,pattern-governance-and-management,,,essif-lab,
pattern-jurisdiction,pattern-jurisdiction,,,essif-lab,
pattern-party-actor-action,pattern-party-actor-action,,,essif-lab,
patterns,patterns,,,essif-lab,
pattern-terminology,pattern-terminology,,,,
reader,reader,,,,
readers,readers,,,,
reader's,reader-s,,,,
ref text,ref-text,,,,
relation,relation,,,,
relations,relations,,,,
SAF,saf,,,,
saf,saf,,,,
SAFs,safs,saf,,,
scoped,scoped,,,,
Self-Sovereign Terminology,self-sovereign-terminology,,,,
subject,subject,,,,
Term,term,,,,
term,term,,,,
term identifier,term-identifier,term-identifier{ss},,,
terminological artifacts,terminological-artifacts,,,,
Terminology Corpus,terminology-corpus,corpus,,,
terminology process,terminology-process,,,,
terminology under construction,terminology-under-construction,,,,
term name,term-name,,,,
term-name,term-name,,,,
term selection criteria,term-selection-criteria,,,,
term type,term-type,,,,
term-type,term-type,,,,
TEv2 toolbox,tev2-toolbox,,,,
things,things,,,,
tools,tools,,,,
transformer,transformer,,,,
TRRT,trrt,,,,
trrt,trrt,,,,
TRRT's,trrt-s,trrt,,,
use-case,use-case,,,,
use cases,use-cases,,,,
use-cases,use-cases,,,,
user,user,,,,
users,users,,,,
